Molecular Weight,Polar Surface Area,measured log solubility in mols per litre,solubility labels,smiles
108.14,9.23,-1.85,1,COc1ccccc1
127.574,26.02,-1.66,1,Nc1ccc(Cl)cc1
116.204,20.23,-1.52,1,CCCC(C)(C)CO
102.133,26.3,-0.55,1,CC(C)OC(=O)C
136.15,26.3,-1.85,1,COC(=O)c1ccccc1
126.115,54.86,-0.807,1,Cn1ccc(=O)[nH]c1=O
128.558,20.23,-1.06,1,Oc1ccccc1Cl
102.177,20.23,-0.7,1,CCC(O)C(C)C
114.188,17.07,-1.45,1,CCCCCC(=O)C
183.169,55.4,0.54,1,COP(=O)(NC(C)=O)SC 
116.204,20.23,-0.98,1,CCCC(C)(O)CC
108.144,38.05,0.07,1,NNc1ccccc1
100.161,17.07,-1.52,1,CCC(CC)C=O
102.177,9.23,-1.62,1,CCCOCCC
135.166,29.1,-1.33,1,CC(=O)Nc1ccccc1
116.16,26.3,-1.52,1,CC(C)CCOC=O
120.151,17.07,-1.28,1,CC(=O)c1ccccc1
182.156,44.76,0.43,1,CCOP(=O)(OCC)OCC
201.225,42.24,-3.3,-1,Cc1occc1C(=O)Nc2ccccc2
152.237,17.07,-2.06,-1,CC(C)=CCCC(C)=CC(=O)
218.256,58.2,-2.64,-1,CCC1(C(=O)NCNC1=O)c2ccccc2
172.312,20.23,-2.94,-1,CCCCCCCCCC(C)O
234.299,54.86,-4.594,-1,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
179.219,38.33,-2.35,-1,CCOc1ccc(NC(=O)C)cc1
158.241,26.3,-3.17,-1,CCCCCCCC(=O)OC
169.227,12.03,-3.504,-1,N(c1ccccc1)c2ccccc2
156.269,20.23,-2.53,-1,CC(C)C1CCC(C)CC1O 
214.062,29.1,-3.083,-1,CC(=O)Nc1ccc(Br)cc1
229.715,53.94,-4.06,-1,CCNc1nc(Cl)nc(n1)N(CC)CC
154.253,17.07,-2.35,-1,CC(C)C1CCC(C)CC1=O
192.001,43.14,-3.48,-1,O=N(=O)c1c(Cl)c(Cl)ccc1
193.249,26.02,-5.17,-1,Nc3ccc2cc1ccccc1cc2c3 
209.293,49.25,-2.24,-1,CCCCc1c(C)nc(nc1O)N(C)C 
225.313,38.33,-2.09,-1,CCSCc1ccccc1OC(=O)NC 
150.221,20.23,-2.41,-1,CC(C)(C)c1ccc(O)cc1
154.253,20.23,-2.46,-1,CC(C)=CCC/C(C)=C\CO
142.242,17.07,-2.58,-1,CCCCC(=O)CCCC
217.268,46.17,-2.337,-1,CCC1(CCC(=O)NC1=O)c2ccccc2 
186.295,26.3,-3.8,-1,CCCCCCCCC(=O)OCC
209.245,47.56,-2.05,-1,CNC(=O)Oc1ccccc1OC(C)C
144.173,20.23,-2.28,-1,Oc1ccc2ccccc2c1
150.221,17.07,-2.06,-1,CC(=C)C1CC=C(C)C(=O)C1
221.26,53.93,-2.34,-1,CNC(=O)Oc1cccc(N=CN(C)C)c1
156.269,17.07,-3.3,-1,CCCCCCCCC(=O)C
243.742,53.94,-3.785,-1,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
198.653,32.34,-2.89,-1,CN(C)C(=O)Nc1ccc(Cl)cc1
215.362,20.31,-3.4,-1,CCSC(=O)N(CC)C1CCCCC1 
142.585,9.23,-2.78,-1,COc1ccc(Cl)cc1
245.282,47.36,-2.09,-1,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
192.001,43.14,-3.2,-1,O=N(=O)c1cc(Cl)c(Cl)cc1
180.21,25.78,-2.68,-1,c1cnc2c(c1)ccc3ncccc23
148.205,9.23,-3.13,-1,COc1ccc(C=CC)cc1
242.447,20.23,-7.0,-1,CCCCCCCCCCCCCCCCO
212.252,41.13,-3.15,-1,O=C(Nc1ccccc1)Nc2ccccc2
206.289,32.34,-3.536,-1,CC(C)c1ccc(NC(=O)N(C)C)cc1
168.195,13.14,-4.6,-1,o1c2ccccc2c3ccccc13
232.205,32.34,-3.43,-1,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
179.222,12.89,-3.67,-1,c3ccc2nc1ccccc1cc2c3
200.322,26.3,-4.1,-1,CCCCCCCCCC(=O)OCC
218.083,29.1,-3.0,-1,CCC(=O)Nc1ccc(Cl)c(Cl)c1
194.233,20.23,-4.73,-1,c3ccc2c(O)c1ccccc1cc2c3 
208.261,41.57,-2.36,-1,CNC(=O)Oc1ccc(N(C)C)c(C)c1
144.258,20.23,-2.74,-1,CCCCCCCC(C)O
235.308,38.33,-3.14,-1,CC1=C(SCCO1)C(=O)Nc2ccccc2
212.68,32.34,-3.483,-1,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
249.097,41.57,-3.592,-1,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
242.344,58.2,-3.36,-1,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O 
150.221,20.23,-2.08,-1,c1(O)c(C)ccc(C(C)C)c1
196.681,15.6,-2.86,-1,CN(C)C=Nc1ccc(Cl)cc1C
244.294,44.12,-4.735,-1,CCOC(=O)c1cncn1C(C)c2ccccc2
149.237,3.24,-3.03,-1,CCN(CC)c1ccccc1
221.256,47.56,-2.8,-1,CNC(=O)Oc1cccc2CC(C)(C)Oc12
184.238,20.23,-2.55,-1,c1ccccc1C(O)c2ccccc2
186.295,26.3,-4.69,-1,CCCCCCCCCC(=O)OC
194.237,38.91,-4.22,-1,Nc2cccc3nc1ccccc1cc23 
170.211,20.23,-3.48,-1,Oc1ccc(cc1)c2ccccc2
217.268,38.33,-2.56,-1,CC1=C(CCCO1)C(=O)Nc2ccccc2 
232.327,41.13,-4.11,-1,CC1CCCCC1NC(=O)Nc2ccccc2
226.235,42.43,-3.672,-1,O2c1ccccc1N(C)C(=O)c3cccnc23 
246.306,43.37,-3.09,-1,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C
227.337,62.73,-3.04,-1,CCNc1nc(NC(C)C)nc(SC)n1
212.248,37.3,-2.85,-1,OC(C(=O)c1ccccc1)c2ccccc2
241.364,62.73,-4.0,-1,CCNc1nc(NC(C)(C)C)nc(SC)n1
172.268,26.3,-3.39,-1,CCCCCCCC(=O)OCC
142.585,9.23,-2.78,-1,COc1cccc(Cl)c1
203.351,20.31,-3.53,-1,CCCCN(CC)C(=O)SCCC
148.205,9.23,-2.92,-1,c1(OC)ccc(CC=C)cc1
167.258,12.89,-3.18,-1,Sc2nc1ccccc1s2 
216.192,52.58,-3.664,-1,COc2c1occc1cc3ccc(=O)oc23 
172.183,34.14,-3.03,-1,CC2=CC(=O)c1ccccc1C2=O 
144.258,20.23,-3.01,-1,CCCCCCCCCO
217.378,20.31,-3.68,-1,CCSC(=O)N(CC(C)C)CC(C)C
243.309,26.02,-6.2,-1,Nc3cc2c1ccccc1ccc2c4ccccc34 
197.448,20.23,-2.67,-1,Oc1cc(Cl)cc(Cl)c1Cl
239.702,29.54,-2.338,-1,CC1(C)CON(Cc2ccccc2Cl)C1=O
213.31,45.15,-2.676,-1,CSc1nc(nc(n1)N(C)C)N(C)C
197.448,20.23,-2.67,-1,Oc1ccc(Cl)c(Cl)c1Cl
222.332,32.34,-3.171,-1,CN(C)C(=O)NC1CC2CC1C3CCCC23
239.318,20.31,-2.98,-1,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
233.098,32.34,-3.8,-1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
122.167,9.23,-2.33,-1,CCOc1ccccc1
176.215,26.3,-3.0,-1,CCOC(=O)C=Cc1ccccc1
216.668,54.86,-2.484,-1,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C
223.659,38.33,-2.617,-1,CC(OC(=O)Nc1cccc(Cl)c1)C#C
154.253,20.23,-2.32,-1,CC1(C)C2CCC1(C)C(O)C2
144.173,20.23,-2.22,-1,Oc1cccc2ccccc12
197.448,20.23,-2.21,-1,Oc1cc(Cl)c(Cl)cc1Cl
179.222,12.89,-2.78,-1,c1ccc2c(c1)cnc3ccccc23 
214.393,20.23,-5.84,-1,CCCCCCCCCCCCCCO
197.448,20.23,-2.64,-1,Oc1c(Cl)ccc(Cl)c1Cl
167.211,15.79,-5.27,-1,c1ccc2c(c1)[nH]c3ccccc32
239.274,29.54,-3.68,-1,O2c1ccccc1N(CC)C(=O)c3ccccc23 
244.29,39.44,-4.314,-1,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O 
214.349,26.3,-4.69,-1,CCCCCCCCCCCC(=O)OC
214.652,41.57,-2.57,-1,CON(C)C(=O)Nc1ccc(Cl)cc1
228.679,41.57,-2.564,-1,COc1ccc(NC(=O)N(C)C)cc1Cl
211.692,20.31,-2.48,-1,CC(C)N(C(=O)CCl)c1ccccc1 
194.274,40.46,-2.59,-1,c1(O)cc(O)ccc1CCCCCC
